n,base,base_nomenclature,order_no,line_no,del_no,supply_code,priority,part_number,spec_number,cage_code,part_description,demand_total_qty,uai,tail_number,variant,iwerk_customer,co_status,date_planned,ifs_delivered_date_uni,ifs_inv_closed_date,ifs_co_type,customer_no,po_num,po_status,wo_description,cust_wo_ref,rep_ind,unified_cwt,base_conus_oconus_afloat,smr_cd,created,date_released,date_reserved,date_partial_delivery,to_qty_dlvrd,squadron_name,adjusted_metric_priority,ia_code,gie_cleansed_datetime,categorization,is_tctd_demand,wait_time
1,KLUF,LUKE AFB,000000112788,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2019-07-18 17:45:00,2019-07-18 17:56:00,2019-07-19 01:24:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2019-07-18,2019-07-18 17:45:00,2019-07-18 17:45:00,null,1,null,3,J56,2019-07-18 17:45:00,GIE Demand,false,0.007638889
2,KLUF,LUKE AFB,000000214636,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2021-11-02 14:14:00,2021-11-02 14:22:00,2021-11-02 14:26:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2021-11-02,2021-11-02 14:14:00,2021-11-02 14:14:00,null,1,null,3,J56,2021-11-02 14:14:00,GIE Demand,false,0.0055555557
3,KLUF,LUKE AFB,000000102827,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2019-04-23 11:12:00,2019-04-23 11:20:00,2019-04-23 11:22:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2019-04-23,2019-04-23 11:12:00,2019-04-23 11:13:00,null,1,null,3,J56,2019-04-23 11:12:00,GIE Demand,false,0.0055555557
4,KLUF,LUKE AFB,000000272688,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2023-01-24 22:31:00,2023-01-24 22:41:00,2023-01-24 22:44:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2023-01-24,2023-01-24 22:31:00,2023-01-24 22:31:00,null,1,null,3,J56,2023-01-24 22:31:00,GIE Demand,false,0.0069444445
5,KLUF,LUKE AFB,000000175951,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2020-12-14 14:40:00,2020-12-14 14:49:00,2020-12-14 14:54:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2020-12-14,2020-12-14 14:40:00,2020-12-14 14:40:00,null,1,null,3,J56,2020-12-14 14:40:00,GIE Demand,false,0.00625
6,KLUF,LUKE AFB,000000204315,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2021-08-13 12:56:00,2021-08-13 13:08:00,2021-08-13 13:18:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2021-08-13,2021-08-13 12:56:00,2021-08-13 12:56:00,null,1,null,3,J56,2021-08-13 12:56:00,GIE Demand,false,0.008333334
7,KLUF,LUKE AFB,000000214116,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2021-10-28 16:41:00,2021-10-28 16:54:00,2021-10-28 17:00:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2021-10-28,2021-10-28 16:41:00,2021-10-28 16:41:00,null,1,null,3,J56,2021-10-28 16:41:00,GIE Demand,false,0.009027778
8,KLUF,LUKE AFB,000000161066,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2020-08-18 14:51:00,2020-08-18 15:04:00,2020-08-18 15:14:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2020-08-18,2020-08-18 14:51:00,2020-08-18 14:51:00,null,1,null,3,J56,2020-08-18 14:51:00,GIE Demand,false,0.009027778
9,KLUF,LUKE AFB,000000180880,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2021-01-29 18:48:00,2021-01-29 18:57:00,2021-01-29 19:00:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2021-01-29,2021-01-29 18:48:00,2021-01-29 18:49:00,null,1,null,2,J56,2021-01-29 18:48:00,GIE Demand,false,0.00625
10,KLUF,LUKE AFB,000000214895,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2021-11-03 16:19:00,2021-11-03 16:32:00,2021-11-03 16:45:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2021-11-03,2021-11-03 16:19:00,2021-11-03 16:19:00,null,1,null,3,J56,2021-11-03 16:19:00,GIE Demand,false,0.009027778
