n,base,base_nomenclature,order_no,line_no,del_no,supply_code,priority,part_number,spec_number,cage_code,part_description,demand_total_qty,uai,tail_number,variant,iwerk_customer,co_status,date_planned,ifs_delivered_date_uni,ifs_inv_closed_date,ifs_co_type,customer_no,po_num,po_status,wo_description,cust_wo_ref,rep_ind,unified_cwt,base_conus_oconus_afloat,smr_cd,created,date_released,date_reserved,date_partial_delivery,to_qty_dlvrd,squadron_name,adjusted_metric_priority,ia_code,gie_cleansed_datetime,categorization,is_tctd_demand,target
1,KLUF,LUKE AFB,112788,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,7/18/2019 17:45,7/18/2019 17:56,7/19/2019 1:24,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,7/18/2019,7/18/2019 17:45,7/18/2019 17:45,null,1,null,3,J56,7/18/2019 17:45,GIE Demand,FALSE,0.007638889
2,KLUF,LUKE AFB,214636,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,11/2/2021 14:14,11/2/2021 14:22,11/2/2021 14:26,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,11/2/2021,11/2/2021 14:14,11/2/2021 14:14,null,1,null,3,J56,11/2/2021 14:14,GIE Demand,FALSE,0.005555556
3,KLUF,LUKE AFB,102827,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,4/23/2019 11:12,4/23/2019 11:20,4/23/2019 11:22,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,4/23/2019,4/23/2019 11:12,4/23/2019 11:13,null,1,null,3,J56,4/23/2019 11:12,GIE Demand,FALSE,0.005555556
4,KLUF,LUKE AFB,272688,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,1/24/2023 22:31,1/24/2023 22:41,1/24/2023 22:44,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,1/24/2023,1/24/2023 22:31,1/24/2023 22:31,null,1,null,3,J56,1/24/2023 22:31,GIE Demand,FALSE,0.006944445
5,KLUF,LUKE AFB,175951,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,12/14/2020 14:40,12/14/2020 14:49,12/14/2020 14:54,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,12/14/2020,12/14/2020 14:40,12/14/2020 14:40,null,1,null,3,J56,12/14/2020 14:40,GIE Demand,FALSE,0.00625
6,KLUF,LUKE AFB,204315,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,8/13/2021 12:56,8/13/2021 13:08,8/13/2021 13:18,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,8/13/2021,8/13/2021 12:56,8/13/2021 12:56,null,1,null,3,J56,8/13/2021 12:56,GIE Demand,FALSE,0.008333334
7,KLUF,LUKE AFB,214116,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,10/28/2021 16:41,10/28/2021 16:54,10/28/2021 17:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,10/28/2021,10/28/2021 16:41,10/28/2021 16:41,null,1,null,3,J56,10/28/2021 16:41,GIE Demand,FALSE,0.009027778
8,KLUF,LUKE AFB,161066,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,8/18/2020 14:51,8/18/2020 15:04,8/18/2020 15:14,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,8/18/2020,8/18/2020 14:51,8/18/2020 14:51,null,1,null,3,J56,8/18/2020 14:51,GIE Demand,FALSE,0.009027778
9,KLUF,LUKE AFB,180880,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,1/29/2021 18:48,1/29/2021 18:57,1/29/2021 19:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,1/29/2021,1/29/2021 18:48,1/29/2021 18:49,null,1,null,2,J56,1/29/2021 18:48,GIE Demand,FALSE,0.00625
10,KLUF,LUKE AFB,214895,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,11/3/2021 16:19,11/3/2021 16:32,11/3/2021 16:45,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,11/3/2021,11/3/2021 16:19,11/3/2021 16:19,null,1,null,3,J56,11/3/2021 16:19,GIE Demand,FALSE,0.009027778
